application_id,applicant_country,visa_type,submission_date,decision_date,processing_time_days,processing_center,decision,season,application_year
A00779,United Kingdom,Visit,2022-10-14,2022-10-25,11,New York,Rejected,Autumn,2022
A00950,Philippines,Permanent Residency,2021-09-04,,,Abu Dhabi,Pending,Autumn,2021
A00335,Saudi Arabia,Business,2024-01-28,2024-03-20,52,Ottawa,Approved,Winter,2024
A00577,Saudi Arabia,Tourist,2021-12-20,2021-12-28,8,London,Approved,Winter,2021
A00935,Canada,Work,2022-10-22,2023-01-28,98,Sydney,Approved,Autumn,2022
A00568,Philippines,Employment,2021-12-09,2022-08-17,251,Sydney,Approved,Winter,2021
A00595,Brazil,Visit,2024-03-13,2024-03-31,18,New York,Approved,Spring,2024
A00531,United Kingdom,Student,2022-08-01,2022-10-03,63,Delhi,Approved,Summer,2022
A00582,Germany,Tourist,2022-05-04,2022-05-21,17,Abu Dhabi,Rejected,Spring,2022
A00708,Australia,Work,2022-03-08,2022-05-12,65,Delhi,Approved,Spring,2022
A00449,Brazil,Visit,2022-09-07,2022-09-28,21,London,Approved,Autumn,2022
A00454,Australia,Tourist,2023-03-28,2023-04-14,17,Delhi,Approved,Spring,2023
A00229,Germany,Student,2021-10-01,2021-12-04,64,New York,Approved,Autumn,2021
A00353,Pakistan,Visit,2021-08-23,2021-09-08,16,New York,Approved,Summer,2021
A00729,Nigeria,Employment,2021-02-09,2021-06-13,124,Ottawa,Approved,Winter,2021
A00213,Germany,Student,2024-08-28,2024-11-02,66,New York,Approved,Summer,2024
A00080,Philippines,Work,2021-06-06,2021-07-20,44,Singapore,Approved,Summer,2021
A00149,Canada,Tourist,2023-01-02,2023-02-01,30,Ottawa,Approved,Winter,2023
A00303,United Kingdom,Permanent Residency,2024-04-09,2024-07-25,107,Abu Dhabi,Approved,Spring,2024
A00629,Bangladesh,Employment,2022-12-17,2023-02-21,66,Delhi,Approved,Winter,2022
A00778,Pakistan,Employment,2023-10-18,2023-12-24,67,Berlin,Approved,Autumn,2023
A00507,India,Skilled Migration,2023-12-09,2024-04-09,122,New York,Approved,Winter,2023
A00343,Bangladesh,Student,2023-09-08,2023-11-08,61,Ottawa,Approved,Autumn,2023
A00486,Brazil,Business,2022-01-11,2022-02-18,38,London,Approved,Winter,2022
A00712,Turkey,Employment,2024-06-14,2024-10-15,123,Berlin,Rejected,Summer,2024
A00134,UAE,Visit,2023-09-16,2023-10-11,25,Berlin,Approved,Autumn,2023
A00704,Bangladesh,Skilled Migration,2021-02-04,2021-05-13,98,Sydney,Approved,Winter,2021
A00312,United Kingdom,Visit,2023-04-30,2023-05-23,23,Sydney,Approved,Spring,2023
A00723,Nepal,Work,2021-07-15,2021-09-21,68,Singapore,Approved,Summer,2021
A00630,Turkey,Permanent Residency,2024-01-15,2024-09-17,246,Delhi,Approved,Winter,2024
A00001,Kenya,Permanent Residency,2023-01-31,2023-08-15,196,Singapore,Approved,Winter,2023
A00317,Canada,Employment,2022-02-18,,,Sydney,Pending,Winter,2022
A00707,South Africa,Business,2024-04-10,2024-05-08,28,New York,Approved,Spring,2024
A00548,Bangladesh,Skilled Migration,2023-04-08,2023-08-17,131,Singapore,Approved,Spring,2023
A00873,Brazil,Work,2024-09-18,2024-11-30,73,Singapore,Approved,Autumn,2024
A00533,France,Business,2024-10-04,2024-10-31,27,New York,Approved,Autumn,2024
A00478,Sri Lanka,Permanent Residency,2023-04-02,2023-12-31,273,Berlin,Approved,Spring,2023
A00405,South Africa,Permanent Residency,2023-06-18,2023-12-26,191,Sydney,Approved,Summer,2023
A00173,Turkey,Employment,2021-09-14,2021-12-11,88,New York,Approved,Autumn,2021
A00126,Philippines,Permanent Residency,2023-01-17,,,Singapore,Pending,Winter,2023
A00395,Australia,Visit,2024-04-13,2024-04-23,10,New York,Rejected,Spring,2024
A00421,India,Visit,2024-04-06,2024-04-28,22,Delhi,Approved,Spring,2024
A00553,Nigeria,Permanent Residency,2023-12-31,2024-08-04,217,Singapore,Rejected,Winter,2023
A00904,France,Student,2022-10-05,2022-12-21,77,Sydney,Approved,Autumn,2022
A00091,Turkey,Work,2023-02-08,2023-04-06,57,Delhi,Approved,Winter,2023
A00940,Australia,Tourist,2023-01-28,2023-02-14,17,New York,Approved,Winter,2023
A00182,South Africa,Visit,2024-02-26,2024-04-01,35,Sydney,Approved,Winter,2024
A00275,France,Visit,2021-10-08,2021-10-25,17,Singapore,Approved,Autumn,2021
A00896,Germany,Visit,2023-07-04,2023-07-25,21,New York,Approved,Summer,2023
A00070,China,Business,2021-07-14,2021-08-14,31,Singapore,Approved,Summer,2021
A00292,Brazil,Business,2023-04-21,2023-05-09,18,London,Approved,Spring,2023
A00132,UAE,Student,2023-05-03,2023-08-01,90,Sydney,Approved,Spring,2023
A00301,Australia,Permanent Residency,2022-04-16,2022-09-30,167,London,Rejected,Spring,2022
A00425,India,Permanent Residency,2024-06-08,,,London,Pending,Summer,2024
A00327,UAE,Visit,2024-11-05,2024-11-20,15,New York,Approved,Autumn,2024
A00145,India,Business,2023-11-24,2023-12-29,35,Singapore,Approved,Autumn,2023
A00424,Canada,Business,2021-01-23,2021-02-07,15,Delhi,Approved,Winter,2021
A00581,Nigeria,Tourist,2022-06-04,2022-06-20,16,Singapore,Approved,Summer,2022
A00136,UAE,Business,2022-09-01,2022-10-18,47,Sydney,Approved,Autumn,2022
A00451,UAE,Employment,2024-07-06,2024-10-07,93,Abu Dhabi,Rejected,Summer,2024
A00165,UAE,Student,2022-09-17,2022-12-12,86,Sydney,Approved,Autumn,2022
A00029,Sri Lanka,Employment,2024-02-17,2024-07-09,143,London,Approved,Winter,2024
A00774,China,Skilled Migration,2022-07-09,2022-11-02,116,Singapore,Rejected,Summer,2022
A00194,Bangladesh,Business,2021-02-08,2021-03-13,33,Abu Dhabi,Approved,Winter,2021
A00389,India,Permanent Residency,2021-05-11,2021-12-28,231,Delhi,Approved,Spring,2021
A00853,South Africa,Permanent Residency,2021-05-29,2021-12-06,191,Sydney,Rejected,Spring,2021
A00170,Bangladesh,Student,2024-07-08,2024-08-30,53,Singapore,Approved,Summer,2024
A00706,Philippines,Permanent Residency,2024-08-23,2025-03-21,210,Delhi,Approved,Summer,2024
A00141,Bangladesh,Permanent Residency,2023-08-21,2024-04-14,237,Abu Dhabi,Approved,Summer,2023
A00174,Saudi Arabia,Work,2022-06-21,2023-03-18,270,New York,Rejected,Summer,2022
A00007,China,Visit,2022-02-19,2022-03-16,25,London,Approved,Winter,2022
A00746,Sri Lanka,Student,2024-03-07,2024-05-02,56,London,Approved,Spring,2024
A00479,United States,Employment,2022-10-21,2023-01-02,73,London,Approved,Autumn,2022
A00074,Kenya,Work,2021-05-12,2021-07-24,73,Delhi,Rejected,Spring,2021
A00911,Australia,Work,2023-04-28,2023-06-26,59,Delhi,Approved,Spring,2023
A00814,United Kingdom,Employment,2023-06-14,2023-08-25,72,Berlin,Approved,Summer,2023
A00239,Pakistan,Tourist,2023-04-25,2023-05-05,10,Singapore,Rejected,Spring,2023
A00146,Philippines,Business,2022-08-30,2022-10-01,32,Berlin,Rejected,Summer,2022
A00793,UAE,Employment,2021-04-29,2021-08-09,102,London,Rejected,Spring,2021
A00235,Australia,Student,2023-11-03,,,Abu Dhabi,Pending,Autumn,2023
A00221,United States,Work,2023-05-23,2023-07-28,66,Abu Dhabi,Approved,Spring,2023
A00924,Philippines,Business,2023-01-29,2023-03-15,45,Delhi,Rejected,Winter,2023
A00501,India,Business,2021-09-02,2021-09-30,28,Ottawa,Approved,Autumn,2021
A00133,South Africa,Visit,2024-01-11,2024-01-28,17,London,Approved,Winter,2024
A00991,Sri Lanka,Work,2024-07-07,2024-09-01,56,London,Approved,Summer,2024
A00775,United States,Permanent Residency,2021-12-05,2022-06-04,181,Ottawa,Rejected,Winter,2021
A00186,United Kingdom,Student,2021-04-02,2021-06-11,70,Singapore,Approved,Spring,2021
A00042,South Africa,Tourist,2021-09-06,2021-09-28,22,Ottawa,Approved,Autumn,2021
A00697,Brazil,Skilled Migration,2024-04-06,2024-07-08,93,Singapore,Approved,Spring,2024
A00109,France,Employment,2023-11-02,2024-02-17,107,Ottawa,Rejected,Autumn,2023
A00589,Turkey,Student,2023-03-05,2023-04-25,51,Delhi,Approved,Spring,2023
A00057,China,Tourist,2024-04-10,2024-04-24,14,Berlin,Rejected,Spring,2024
A00406,Sri Lanka,Visit,2023-07-09,2023-07-28,19,Berlin,Approved,Summer,2023
A00443,Nepal,Work,2022-07-23,2022-10-27,96,Singapore,Approved,Summer,2022
A00758,Philippines,Tourist,2024-10-01,2024-10-07,6,Delhi,Approved,Autumn,2024
A00998,Bangladesh,Work,2024-06-02,2024-08-04,63,London,Rejected,Summer,2024
A00025,China,Skilled Migration,2024-06-25,2024-11-23,151,Ottawa,Approved,Summer,2024
A00468,Germany,Work,2022-07-30,2022-10-06,68,London,Approved,Summer,2022
A00540,Brazil,Skilled Migration,2021-08-22,2022-02-20,182,Singapore,Approved,Summer,2021
A00532,India,Skilled Migration,2024-06-21,,,New York,Pending,Summer,2024
A00619,Brazil,Tourist,2023-06-13,2023-06-28,15,London,Approved,Summer,2023
A00695,Australia,Visit,2023-08-12,2023-08-23,11,Berlin,Approved,Summer,2023
A00927,Nigeria,Visit,2022-10-09,2022-10-31,22,Berlin,Approved,Autumn,2022
A00339,France,Skilled Migration,2022-09-15,2023-03-11,177,Abu Dhabi,Approved,Autumn,2022
A00052,Kenya,Permanent Residency,2022-12-21,2023-05-13,143,Abu Dhabi,Rejected,Winter,2022
A00508,Pakistan,Visit,2022-09-06,2022-09-29,23,Delhi,Approved,Autumn,2022
A00517,United States,Visit,2023-08-08,2023-08-22,14,New York,Approved,Summer,2023
A00921,Germany,Employment,2023-11-20,2024-02-11,83,Delhi,Approved,Autumn,2023
A00782,Canada,Student,2024-04-21,2024-07-31,101,Abu Dhabi,Approved,Spring,2024
A00265,China,Employment,2024-05-25,2024-08-18,85,New York,Approved,Spring,2024
A00818,India,Skilled Migration,2024-05-01,2024-07-06,66,Berlin,Approved,Spring,2024
A00711,France,Student,2021-02-25,2021-04-26,60,London,Approved,Winter,2021
A00683,Kenya,Employment,2022-06-25,2022-07-30,35,New York,Approved,Summer,2022
A00833,United Kingdom,Student,2022-10-25,2023-01-14,81,Sydney,Approved,Autumn,2022
A00519,UAE,Permanent Residency,2021-09-15,2022-02-20,158,London,Rejected,Autumn,2021
A00448,Bangladesh,Student,2023-10-15,2023-11-22,38,Berlin,Approved,Autumn,2023
A00019,Australia,Business,2021-02-27,2021-04-04,36,Delhi,Approved,Winter,2021
A00716,Australia,Employment,2022-06-16,2022-09-03,79,Berlin,Approved,Summer,2022
A00484,France,Student,2022-03-01,2022-05-17,77,Sydney,Approved,Spring,2022
A00569,Nepal,Visit,2021-01-06,2021-01-26,20,New York,Approved,Winter,2021
A00434,UAE,Skilled Migration,2022-11-06,2023-02-28,114,Berlin,Approved,Autumn,2022
A00368,Brazil,Permanent Residency,2024-12-06,2025-04-18,133,Berlin,Approved,Winter,2024
A00084,Australia,Visit,2022-03-13,,,Delhi,Pending,Spring,2022
A00062,France,Employment,2022-07-20,2022-11-24,127,Delhi,Approved,Summer,2022
A00639,UAE,Visit,2021-09-27,2021-10-19,22,Berlin,Approved,Autumn,2021
A00273,United States,Skilled Migration,2021-06-28,2022-01-02,188,Delhi,Rejected,Summer,2021
A00286,Saudi Arabia,Student,2022-04-10,2022-11-07,211,Abu Dhabi,Approved,Spring,2022
A00361,United States,Skilled Migration,2024-01-10,2024-05-30,141,Abu Dhabi,Approved,Winter,2024
A00355,Saudi Arabia,Skilled Migration,2024-04-05,2024-07-31,117,Sydney,Approved,Spring,2024
A00457,Australia,Skilled Migration,2024-08-05,2024-12-05,122,New York,Approved,Summer,2024
A00279,France,Visit,2021-05-14,2021-06-02,19,London,Approved,Spring,2021
A00013,Pakistan,Work,2022-01-02,2022-03-27,84,Ottawa,Approved,Winter,2022
A00183,China,Tourist,2023-11-25,2023-12-09,14,London,Approved,Autumn,2023
A00369,United Kingdom,Work,2021-09-29,2022-01-04,97,Singapore,Rejected,Autumn,2021
A00882,Turkey,Work,2024-05-20,2024-07-12,53,New York,Rejected,Spring,2024
A00616,Turkey,Permanent Residency,2023-08-10,2024-01-25,168,New York,Approved,Summer,2023
A00224,Nepal,Student,2022-08-12,2022-10-07,56,Singapore,Approved,Summer,2022
A00573,Turkey,Visit,2022-09-10,2022-09-27,17,Berlin,Approved,Autumn,2022
A00971,Nigeria,Visit,2024-01-15,2024-01-26,11,New York,Approved,Winter,2024
A00654,Bangladesh,Visit,2022-08-02,2022-08-10,8,Berlin,Approved,Summer,2022
A00546,Sri Lanka,Permanent Residency,2024-08-07,2025-01-18,164,New York,Approved,Summer,2024
A00583,Turkey,Visit,2022-11-24,2022-12-20,26,Ottawa,Approved,Autumn,2022
A00634,Brazil,Skilled Migration,2022-04-17,,,Berlin,Pending,Spring,2022
A00177,Philippines,Business,2023-11-09,2023-12-07,28,Berlin,Approved,Autumn,2023
A00666,Turkey,Employment,2021-05-02,2021-07-19,78,Sydney,Approved,Spring,2021
A00674,France,Visit,2024-08-10,2024-09-02,23,New York,Approved,Summer,2024
A00586,Brazil,Business,2024-09-17,2024-10-18,31,New York,Approved,Autumn,2024
A00874,Kenya,Tourist,2024-05-17,2024-06-14,28,Sydney,Approved,Spring,2024
A00394,Kenya,Skilled Migration,2021-08-15,2021-11-27,104,Singapore,Approved,Summer,2021
A00164,Nigeria,Work,2024-12-02,2025-02-06,66,Delhi,Approved,Winter,2024
A00249,Pakistan,Tourist,2024-07-22,2024-08-06,15,Sydney,Approved,Summer,2024
A00635,Nigeria,Work,2022-08-06,2022-10-08,63,New York,Approved,Summer,2022
A00886,UAE,Skilled Migration,2023-11-03,2024-03-20,138,Ottawa,Approved,Autumn,2023
A00670,Sri Lanka,Permanent Residency,2022-02-06,2022-10-15,251,Delhi,Rejected,Winter,2022
A00376,Australia,Work,2022-09-27,2022-11-30,64,Berlin,Rejected,Autumn,2022
A00413,Bangladesh,Permanent Residency,2024-06-17,2025-01-04,201,Berlin,Approved,Summer,2024
A00075,Philippines,Business,2024-09-04,2024-10-12,38,Abu Dhabi,Rejected,Autumn,2024
A00114,South Africa,Business,2022-11-11,2022-12-20,39,Delhi,Approved,Autumn,2022
A00599,India,Skilled Migration,2021-05-15,2021-08-07,84,Sydney,Approved,Spring,2021
A00962,Germany,Student,2022-06-01,2022-08-02,62,Delhi,Rejected,Summer,2022
A00391,United Kingdom,Student,2021-09-02,2021-11-15,74,Abu Dhabi,Approved,Autumn,2021
A00105,Sri Lanka,Work,2022-11-29,,,New York,Pending,Autumn,2022
A00115,China,Employment,2024-11-21,2025-03-24,123,Berlin,Approved,Autumn,2024
A00418,Nigeria,Visit,2021-10-16,2021-11-16,31,Delhi,Approved,Autumn,2021
A00526,Nigeria,Permanent Residency,2022-12-21,2023-07-24,215,London,Approved,Winter,2022
A00458,Sri Lanka,Employment,2024-12-11,2025-03-31,110,Singapore,Approved,Winter,2024
A00410,Philippines,Skilled Migration,2024-10-11,2025-02-13,125,London,Approved,Autumn,2024
A00093,South Africa,Permanent Residency,2024-11-22,2025-03-31,129,London,Approved,Autumn,2024
A00931,France,Skilled Migration,2022-10-30,2023-03-01,122,Ottawa,Rejected,Autumn,2022
A00090,United States,Employment,2023-10-14,2024-02-03,112,New York,Approved,Autumn,2023
A00337,Canada,Visit,2023-06-02,2023-07-11,39,Sydney,Approved,Summer,2023
A00989,South Africa,Skilled Migration,2023-04-09,2023-09-02,146,Ottawa,Approved,Spring,2023
A00922,Canada,Student,2022-10-04,2022-12-07,64,London,Approved,Autumn,2022
A00934,Turkey,Visit,2024-07-26,2024-08-19,24,Singapore,Approved,Summer,2024
A00606,Canada,Skilled Migration,2023-11-12,,,New York,Pending,Autumn,2023
A00594,France,Skilled Migration,2023-07-03,2023-09-27,86,New York,Approved,Summer,2023
A00612,Sri Lanka,Business,2024-11-10,2024-12-22,42,London,Rejected,Autumn,2024
A00095,China,Employment,2021-02-11,2021-05-02,80,Ottawa,Approved,Winter,2021
A00012,United States,Employment,2023-11-21,2024-02-29,100,Sydney,Approved,Autumn,2023
A00397,China,Visit,2023-04-19,2023-05-03,14,Sydney,Approved,Spring,2023
A00534,Nepal,Permanent Residency,2021-01-29,2021-03-30,60,Singapore,Rejected,Winter,2021
A00044,Canada,Visit,2022-11-29,2022-12-28,29,Sydney,Approved,Autumn,2022
A00043,France,Skilled Migration,2024-01-30,2024-06-08,130,Berlin,Approved,Winter,2024
A00330,Pakistan,Skilled Migration,2023-09-30,2024-02-06,129,Delhi,Rejected,Autumn,2023
A00168,Canada,Student,2021-06-22,2021-08-23,62,Sydney,Approved,Summer,2021
A00498,Bangladesh,Business,2021-04-28,2021-06-01,34,Abu Dhabi,Approved,Spring,2021
A00877,Kenya,Permanent Residency,2024-05-11,2024-09-20,132,London,Approved,Spring,2024
A00598,France,Visit,2021-02-19,2021-03-11,20,London,Approved,Winter,2021
A00757,Sri Lanka,Business,2021-05-16,2021-06-21,36,New York,Approved,Spring,2021
A00101,France,Business,2023-10-12,2023-10-30,18,London,Approved,Autumn,2023
A00427,Kenya,Business,2021-07-31,2021-08-30,30,Abu Dhabi,Approved,Summer,2021
A00179,Canada,Student,2024-05-30,2024-08-19,81,Sydney,Approved,Spring,2024
A00445,South Africa,Permanent Residency,2022-04-18,2022-11-12,208,Sydney,Rejected,Spring,2022
A00417,Nigeria,Employment,2024-08-25,2024-11-27,94,Delhi,Approved,Summer,2024
A00871,Sri Lanka,Permanent Residency,2024-04-18,2024-12-08,234,Singapore,Approved,Spring,2024
A00883,Turkey,Visit,2024-11-11,2024-11-29,18,London,Approved,Autumn,2024
A00681,United Kingdom,Permanent Residency,2023-11-06,2024-02-21,107,New York,Approved,Autumn,2023
A00178,South Africa,Skilled Migration,2021-10-29,2022-01-24,87,Delhi,Approved,Autumn,2021
A00396,Turkey,Tourist,2023-05-20,2023-06-05,16,Delhi,Approved,Spring,2023
A00912,Turkey,Work,2024-09-08,2024-11-04,57,Delhi,Approved,Autumn,2024
A00794,Nepal,Business,2022-03-09,2022-04-17,39,Ottawa,Approved,Spring,2022
A00961,France,Permanent Residency,2022-09-04,2023-07-12,311,Sydney,Approved,Autumn,2022
A00685,Germany,Permanent Residency,2021-06-24,2021-10-22,120,New York,Approved,Summer,2021
A00384,India,Student,2022-09-23,2022-11-11,49,Berlin,Approved,Autumn,2022
A00957,Nigeria,Skilled Migration,2021-08-21,2021-12-16,117,Delhi,Approved,Summer,2021
A00752,Philippines,Student,2021-02-13,2021-05-02,78,Ottawa,Approved,Winter,2021
A00258,United States,Skilled Migration,2024-08-27,2025-01-09,135,Ottawa,Approved,Summer,2024
A00539,Saudi Arabia,Visit,2023-02-24,2023-03-27,31,Delhi,Approved,Winter,2023
A00336,United States,Skilled Migration,2022-08-07,2022-12-10,125,Delhi,Approved,Summer,2022
A00016,UAE,Business,2024-07-10,2024-08-13,34,Singapore,Approved,Summer,2024
A00325,Nepal,Student,2024-03-21,2024-05-22,62,Delhi,Approved,Spring,2024
A00759,Brazil,Work,2021-06-02,2021-08-19,78,Abu Dhabi,Approved,Summer,2021
A00223,United Kingdom,Employment,2022-02-07,,,New York,Pending,Winter,2022
A00180,Bangladesh,Tourist,2022-04-02,2022-04-12,10,New York,Approved,Spring,2022
A00984,United Kingdom,Permanent Residency,2021-03-28,2021-10-25,211,Ottawa,Approved,Spring,2021
A00023,Bangladesh,Visit,2024-05-19,2024-06-10,22,Singapore,Approved,Spring,2024
A00357,Bangladesh,Skilled Migration,2022-06-23,2022-11-08,138,Ottawa,Approved,Summer,2022
A00667,United States,Visit,2024-10-09,2024-10-24,15,New York,Approved,Autumn,2024
A00862,Pakistan,Skilled Migration,2021-07-03,2021-11-24,144,Abu Dhabi,Approved,Summer,2021
A00341,Pakistan,Visit,2024-11-21,,,Berlin,Pending,Autumn,2024
A00432,Philippines,Work,2021-11-02,2022-01-08,67,Sydney,Approved,Autumn,2021
A00552,Turkey,Work,2022-05-18,2022-08-24,98,London,Approved,Spring,2022
A00834,France,Business,2024-01-16,2024-02-05,20,London,Approved,Winter,2024
A00204,Bangladesh,Business,2022-05-15,2022-06-14,30,Berlin,Approved,Spring,2022
A00631,United Kingdom,Student,2024-12-27,2025-01-28,32,Berlin,Approved,Winter,2024
A00094,United States,Student,2021-01-04,2021-03-10,65,London,Approved,Winter,2021
A00559,Turkey,Work,2023-02-03,2023-04-03,59,Sydney,Approved,Winter,2023
A00069,Germany,Employment,2023-03-05,2023-05-23,79,Sydney,Approved,Spring,2023
A00623,Sri Lanka,Student,2024-12-11,2025-02-09,60,New York,Approved,Winter,2024
A00285,Philippines,Skilled Migration,2021-04-11,2021-08-14,125,Sydney,Approved,Spring,2021
A00845,China,Student,2023-05-08,2023-07-21,74,New York,Approved,Spring,2023
A00435,United Kingdom,Tourist,2021-11-11,,,Ottawa,Pending,Autumn,2021
A00154,China,Visit,2021-11-09,2021-11-26,17,Ottawa,Approved,Autumn,2021
A00076,Sri Lanka,Student,2024-11-07,2025-01-20,74,Ottawa,Approved,Autumn,2024
A00731,Brazil,Permanent Residency,2023-11-20,2024-05-05,167,Delhi,Approved,Autumn,2023
A00447,Pakistan,Business,2023-07-12,2023-07-28,16,New York,Approved,Summer,2023
A00189,Australia,Student,2021-01-09,2021-03-11,61,London,Approved,Winter,2021
A00272,Saudi Arabia,Permanent Residency,2024-02-22,2024-10-10,231,New York,Rejected,Winter,2024
A00237,UAE,Work,2021-10-02,2021-12-17,76,Berlin,Rejected,Autumn,2021
A00488,South Africa,Employment,2021-06-20,2021-10-17,119,Berlin,Approved,Summer,2021
A00118,South Africa,Employment,2023-03-19,2023-06-25,98,Singapore,Approved,Spring,2023
A00944,Pakistan,Skilled Migration,2023-05-18,2023-09-02,107,Berlin,Rejected,Spring,2023
A00513,Canada,Business,2021-11-05,2021-12-12,37,Singapore,Approved,Autumn,2021
A00826,Pakistan,Permanent Residency,2022-05-26,2022-12-22,210,London,Approved,Spring,2022
A00592,Saudi Arabia,Tourist,2024-10-28,2024-11-19,22,Singapore,Approved,Autumn,2024
A00127,Nepal,Visit,2023-11-08,2023-11-30,22,Abu Dhabi,Approved,Autumn,2023
A00117,Bangladesh,Student,2022-02-24,2022-05-10,75,Berlin,Approved,Winter,2022
A00474,Australia,Employment,2021-06-19,2021-08-29,71,Berlin,Approved,Summer,2021
A00694,Nigeria,Visit,2024-08-09,2024-08-25,16,New York,Approved,Summer,2024
A00058,Turkey,Permanent Residency,2022-12-11,,,New York,Pending,Winter,2022
A00864,Pakistan,Permanent Residency,2022-03-23,2022-10-07,198,Sydney,Approved,Spring,2022
A00913,Germany,Employment,2021-05-08,2021-08-01,85,Berlin,Approved,Spring,2021
A00370,United Kingdom,Work,2022-10-02,2023-01-09,99,Abu Dhabi,Rejected,Autumn,2022
A00269,Bangladesh,Permanent Residency,2024-11-17,2025-05-06,170,Abu Dhabi,Approved,Autumn,2024
A00047,Canada,Tourist,2021-07-15,2021-08-01,17,Singapore,Approved,Summer,2021
A00350,United Kingdom,Business,2022-05-03,2022-06-10,38,Singapore,Rejected,Spring,2022
A00196,Turkey,Employment,2022-02-03,2022-05-20,106,Singapore,Approved,Winter,2022
A01000,Sri Lanka,Tourist,2023-11-09,2023-11-23,14,Singapore,Approved,Autumn,2023
A00835,Australia,Employment,2022-12-21,2023-02-24,65,Berlin,Approved,Winter,2022
A00737,United Kingdom,Business,2023-12-18,2024-01-13,26,London,Approved,Winter,2023
A00264,Canada,Tourist,2021-07-14,2021-08-13,30,Ottawa,Approved,Summer,2021
A00444,UAE,Tourist,2021-07-04,2021-07-18,14,New York,Approved,Summer,2021
A00676,UAE,Skilled Migration,2024-03-03,2024-07-04,123,Sydney,Approved,Spring,2024
A00305,France,Permanent Residency,2021-12-30,2022-09-12,256,Ottawa,Approved,Winter,2021
A00342,United States,Business,2023-03-30,2023-10-30,214,New York,Approved,Spring,2023
A00967,India,Permanent Residency,2022-08-20,2023-01-22,155,London,Approved,Summer,2022
A00150,China,Work,2024-07-20,2024-11-02,105,Abu Dhabi,Approved,Summer,2024
A00125,France,Permanent Residency,2023-03-03,2023-09-22,203,Delhi,Approved,Spring,2023
A00787,Philippines,Permanent Residency,2022-08-18,,,Delhi,Pending,Summer,2022
A00051,India,Employment,2022-12-09,2023-01-24,46,Abu Dhabi,Approved,Winter,2022
A00354,Bangladesh,Permanent Residency,2022-10-30,2023-05-16,198,Berlin,Rejected,Autumn,2022
A00928,Philippines,Student,2024-08-04,2024-11-07,95,Ottawa,Approved,Summer,2024
A00143,Bangladesh,Skilled Migration,2022-05-25,2022-10-10,138,Singapore,Rejected,Spring,2022
A00471,Australia,Business,2022-10-19,2022-11-17,29,Ottawa,Approved,Autumn,2022
A00400,Brazil,Skilled Migration,2024-09-02,2024-11-13,72,Singapore,Approved,Autumn,2024
A00626,Kenya,Skilled Migration,2021-04-30,2021-09-01,124,New York,Approved,Spring,2021
A00321,China,Permanent Residency,2022-11-01,2023-05-11,191,Abu Dhabi,Approved,Autumn,2022
A00020,Australia,Tourist,2021-06-11,2021-07-01,20,Delhi,Approved,Summer,2021
A00810,United States,Visit,2022-12-31,2023-01-17,17,Abu Dhabi,Approved,Winter,2022
A00791,Brazil,Skilled Migration,2023-03-20,2023-08-12,145,Berlin,Approved,Spring,2023
A00809,Canada,Permanent Residency,2022-09-24,2023-04-19,207,Sydney,Approved,Autumn,2022
A00408,Philippines,Tourist,2022-10-04,2022-10-13,9,New York,Approved,Autumn,2022
A00538,Sri Lanka,Visit,2023-02-24,,,Sydney,Pending,Winter,2023
A00621,Canada,Permanent Residency,2022-10-26,2023-04-01,157,Abu Dhabi,Approved,Autumn,2022
A00039,Australia,Student,2022-12-22,2023-02-12,52,New York,Approved,Winter,2022
A00176,Philippines,Employment,2023-05-07,2023-07-19,73,Ottawa,Approved,Spring,2023
A00246,South Africa,Skilled Migration,2023-03-11,2023-07-13,124,New York,Rejected,Spring,2023
A00829,Australia,Employment,2023-04-20,2023-07-04,75,New York,Approved,Spring,2023
A00668,Australia,Work,2021-11-29,2022-01-25,57,Delhi,Approved,Autumn,2021
A00755,Australia,Business,2023-08-27,2023-09-23,27,New York,Rejected,Summer,2023
A00859,China,Employment,2023-05-18,2023-08-20,94,New York,Rejected,Spring,2023
A00155,UAE,Tourist,2022-08-18,2022-09-04,17,Berlin,Approved,Summer,2022
A00288,Philippines,Skilled Migration,2024-04-30,2024-08-30,122,Delhi,Approved,Spring,2024
A00603,UAE,Business,2021-01-10,2021-02-15,36,Abu Dhabi,Approved,Winter,2021
A00570,China,Permanent Residency,2021-09-11,2022-02-05,147,Abu Dhabi,Approved,Autumn,2021
A00744,China,Business,2023-06-16,2023-07-11,25,Berlin,Approved,Summer,2023
A00018,Brazil,Work,2024-06-04,2024-07-17,43,London,Approved,Summer,2024
A00128,UAE,Student,2022-03-25,2022-05-26,62,Singapore,Approved,Spring,2022
A00323,Nigeria,Tourist,2021-03-16,,,Berlin,Pending,Spring,2021
A00256,United Kingdom,Student,2021-01-01,2021-03-22,80,Ottawa,Approved,Winter,2021
A00658,Germany,Skilled Migration,2022-06-26,2022-11-17,144,New York,Approved,Summer,2022
A00965,Saudi Arabia,Visit,2023-09-05,2023-09-29,24,Abu Dhabi,Rejected,Autumn,2023
A00191,United Kingdom,Business,2022-07-22,2022-08-31,40,Berlin,Approved,Summer,2022
A00116,Sri Lanka,Visit,2023-11-28,2023-12-23,25,Singapore,Approved,Autumn,2023
A00617,Saudi Arabia,Visit,2021-02-12,2021-03-15,31,Abu Dhabi,Approved,Winter,2021
A00607,Germany,Employment,2023-06-13,2023-07-26,43,New York,Rejected,Summer,2023
